Title,Movie_Cast,Director,Genre,Year
Kaushaljis vs Kaushal,Ashutosh RanaSheeba ChadhaIsha TalwarPavail Gulati,Seemaa Desai,NA,2025
Shaila,Rohit ChaudharySara KhanSonam AroraAadhvikaaDurvesh RameshwaramHussain KhanKetan Raj Sharma,Saki Shah,NA,2025
Crazxy,Sohum Shah,Girish Kohli,NA,2025
Superboys of Malegaon,Adarsh GouravVineet Kumar SinghShashank AroraAnuj Singh Duhan,Reema Kagti,NA,2025
Dil Dosti Aur Dogs,Neena GuptaMasumeh MakhijaSharad KelkarKunaal Roy KapurKeerti Gaekwad KelkarTinu AnandEhan BhatTridha Choudhury,Viral Shah,NA,2025
Nadaaniyan,Ibrahim Ali KhanKhushi KapoorMahima ChaudhrySuniel ShettyDia MirzaJugal Hansraj,Shauna Gautam,NA,2025
The Diplomat,John AbrahamSadia KhateebRevathyKumud Mishra,Shivam Nair,NA,2025
My Melbourne,Ryanna SkyeKat StewartJake RyanArushi SharmaJackson GallagherArka Das,Kabir KhanRima DasOnirImtiaz Ali,NA,2025
Be Happy,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,Remo D'Souza,NA,2025
Inn Galiyon Mein,Vivaan ShahAvantika DassaniJaved Jaffrey,Avinash Das,NA,2025
Aachari Baa,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,Hardik Gajjar,NA,2025
Baida,Sudhanshu RaiManisha RaiShobhit Sujay,Puneet Sharma,NA,2025
Tumko Meri Kasam,Anupam KherIshwak SinghAdah SharmaEsha Deol,Vikram Bhatt,NA,2025
Pintu Ki Pappi,ShushantJaanyaa JoshiVidhiiGanesh AcharyaMurali SharmaVijay Raaz,Shiv Hare,NA,2025
Sikandar,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,AR Murugadoss,NA,2025
Jaat,Sunny DeolRandeep HoodaSaiyami Kher,Gopichand Malineni,NA,2025
Chhorii 2,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,Vishal Furia,NA,2025
Kesari Chapter 2,Akshay KumarR. MadhavanAnanya Panday,Karan Singh Tyagi,NA,2025
Logout,Babil KhanRasika DugalGandharv DewanNimisha Nair,Amit Golani,NA,2025
Ground Zero,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,Tejas Prabha Vijay Deoskar,NA,2025
Jewel Thief – The Heist Begins,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,Kookie GulatiRobbie Garewal,NA,2025
Phule,Pratik GandhiPatralekha,Anant Mahadevan,NA,2025
Oye Bhootni Ke,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,Ajay Kailash Yadav,NA,2025
Raid 2,Ajay DevgnRiteish DeshmukhVaani Kapoor,Raj Kumar Gupta,NA,2025
The Bhootnii,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,Sidhaant Sachdev,NA,2025
Costao,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,Sejal Shah,NA,2025
The Networker,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,Vikas Kumar Vishwakarma,NA,2025
Romeo S3,Thakur Anoop SinghPalak Tiwari,Guddu Dhanoa,NA,2025
Bhool Chuk Maaf,Rajkummar RaoWamiqa Gabbi,Karan Sharma,NA,2025
Kapkapiii,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,Sangeeth Sivan,NA,2025
Pune Highway,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,Rahul da CunhaBugs Bhargava Krishna,NA,2025
Kesari Veer,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Prince Dhiman,NA,2025
Chidiya,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,Mehran Amrohi,NA,2025
Interrogation,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,Ajoy Varma Raja,NA,2025
Stolen,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,Karan Tejpal,NA,2025
Housefull 5,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Tarun Mansukhani,NA,2025
Sitaare Zameen Par,Aamir KhanGenelia Deshmukh,R. S. Prasanna,NA,2025
Kuberaa,DhanushRashmika MandannaNagarjunaJim SarbhDalip Tahil,Sekhar Kammula,NA,2025
Detective Sherdil,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,Ravi Chhabriya,NA,2025
Maa,KajolRonit RoyIndraneil SenguptaKherin Sharma,Vishal Furia,NA,2025
Gyanvapi Files,Vijay RaazRajneesh Duggal,Bharat Shrinate,NA,2025
Nikita Roy,Sonakshi SinhaArjun RampalParesh RawalSuhail Nayyar,Kussh Sinha,NA,2025
NA,NA,NA,NA,2025
Metro... In Dino,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,Anurag Basu,NA,2025
Maalik,Rajkummar RaoManushi ChhillarMedha ShankrPrasenjit Chatterjee,Pulkit,NA,2025
Aankhon Ki Gustaakhiyan,Vikrant MasseyShanaya Kapoor,Santosh Singh,NA,2025
Saiyaara,Ahaan PandayAneet Padda,Mohit Suri,NA,2025
Tanvi the Great,Anupam KherShubhangi DuttIain GlenBoman IraniJackie ShroffArvind SwamiPallavi JoshiKaran TackerNassar,Anupam Kher,NA,2025
Param Sundari,Sidharth MalhotraJanhvi Kapoor,Tushar Jalota,NA,2025
Dhadak 2,Siddhant ChaturvediTriptii Dimri,Shazia Iqbal,NA,2025
War 2,Hrithik RoshanN. T. Rama Rao Jr.Kiara Advani,Ayan Mukerji,NA,2025
The Delhi Files,Mithun ChakrabortyAnupam KherPuneet IssarGovind NamdevBabbu MaanPallavi JoshiPalomi Ghosh,Vivek Agnihotri,NA,2025
Baaghi 4,Tiger ShroffSanjay DuttSonam BajwaHarnaaz Sandhu,A. Harsha,NA,2025
Sunny Sanskari Ki Tulsi Kumari,Varun DhawanJanhvi KapoorSanya MalhotraRohit Saraf,Shashank Khaitan,NA,2025
Jolly LLB 3,Akshay KumarArshad WarsiHuma QureshiAmrita RaoSaurabh ShuklaAnnu Kapoor,Subhash Kapoor,NA,2025
Haunted 3D: Ghosts Of The Past,Mahaakshay ChakrabortyChetna Pande,Vikram Bhatt,NA,2025
Ikkis,DharmendraAgastya NandaJaideep AhlawatSimar Bhatia,Sriram Raghavan,NA,2025
Ek Deewane ki Deewaniyat,Harshvardhan RaneSonam Bajwa,Milap Zaveri,NA,2025
Thama,Ayushmann KhurranaRashmika MandannaNawazuddin SiddiquiParesh Rawal,Aditya Sarpotdar,NA,2025
Untitled film,Kartik AaryanSreeleela,Anurag Basu,NA,2025
De De Pyaar De 2,Ajay DevgnR. MadhavanRakul Preet Singh,Anshul Sharma,NA,2025
120 Bahadur,Farhan Akhtar,Razneesh ‘Razy’ Ghai,NA,2025
Tere Ishk Mein,DhanushKriti Sanon,Aanand L. Rai,NA,2025
Untitled film,Shahid KapoorRandeep HoodaNana PatekarTriptii Dimri,Vishal Bhardwaj,NA,2025
Alpha,Alia BhattSharvariAnil KapoorBobby Deol,Shiv Rawail,NA,2025
Dacoit,Adivi SeshMrunal Thakur,Shaneil Deo,NA,2025
Shakti Shalini,NA,NA,NA,2025
