Title,Movie_Cast,Director,Genre,Year
naam,Ajay DevgnSameera ReddyBhumika ChawlaRahul Dev,Anees Bazmee,"action, thriller",2024
i want to talk,Abhishek BachchanAhilya BamrooJohny Lever,Shoojit Sircar,drama,2024
sikandar ka muqaddar,Jimmy ShergillTamannaah BhatiaAvinash Tiwary,Neeraj Pandey,"thriller, war",2024
agni,Pratik GandhiDivyennduSaiyami KherJitendra JoshiSai Tamhankar,Rahul Dholakia,"action, thriller",2024
zero se restart,Vikrant MasseyMedha ShankarAnant V Joshi,Vidhu Vinod Chopra,drama,2024
despatch,Manoj BajpayeeShahana Goswami,Kanu Behl,"drama, crime",2024
vanvaas,Nana PatekarUtkarsh SharmaSimrat KaurRajpal Yadav,Anil Sharma,"drama, family",2024
outhouse,Sunil AbhyankarSharmila TagoreSonali KulkarniMohan AgasheJihan Jeetendra Hodar,Sunil Sukthankar,,2024
baby john,Varun DhawanKeerthy SureshWamiqa GabbiJackie ShroffSanya Malhotra,Kalees,"action, thriller",2024
kisko tha pata,Ashnoor KaurAkshay OberoiAadil Khan,Ratnaa Sinha,Unknown,2024
,,,,2024
,,,,2024
,,,,2024
chhaava,,,"action, historical",2025
chhaava,,,"action, historical",2025
raid 2,,,"thriller, crime",2025
raid 2,,,"thriller, crime",2025
sikandar,,,"action, drama",2025
sikandar,,,"action, drama",2025
sky force,,,"action, drama, war",2025
sky force,,,"action, drama, war",2025
kesari chapter 2,,,"drama, historical",2025
kesari chapter 2,,,"drama, historical",2025
jaat,,,"action, thriller",2025
jaat,,,"action, thriller",2025
bhool chuk maaf,,,"comedy, romantic, fantasy",2025
bhool chuk maaf,,,"comedy, romantic, fantasy",2025
housefull 5,,,"comedy, thriller, war",2025
housefull 5,,,"comedy, thriller, war",2025
the diplomat,,,"thriller, political",2025
the diplomat,,,"thriller, political",2025
deva,,,"action, thriller",2025
deva,,,"action, thriller",2025
the rabbit house,"Amit RiyaanKarishmaPadmanabh, Gagan PradeepPreeti SharmaSuresh Kumbhar",Vaibhav Kulkarni,thriller,2025
